"","Date","Equity","mCl","sdCl","hits","num_tws","num_rts"
"126",2009-06-01,"NVDA",0.00402805801340531,0.0297585023590265,9,NA,NA
"127",2009-07-01,"NVDA",0.00652478294601565,0.026787148866855,9,NA,NA
"128",2009-08-01,"NVDA",0.00592553753881531,0.0285866809088369,9,NA,NA
"129",2009-09-01,"NVDA",0.00192652254624086,0.0242994152324025,8,NA,NA
"130",2009-10-01,"NVDA",-0.00999248872105761,0.0264907968583724,9,NA,NA
"131",2009-11-01,"NVDA",0.00467243869379584,0.0237397934933732,7,NA,NA
"132",2009-12-01,"NVDA",0.0169927046895836,0.0359899487581446,11,NA,NA
"133",2010-01-01,"NVDA",-0.00992070372674154,0.0216638910167426,8,NA,NA
"134",2010-02-01,"NVDA",0.00318761588960527,0.0319492872918635,6,NA,NA
"135",2010-03-01,"NVDA",0.00332301519532012,0.0210545176591441,6,NA,NA
"136",2010-04-01,"NVDA",-0.00459870700015925,0.0229332531937261,7,NA,NA
"137",2010-05-01,"NVDA",-0.0082175646549882,0.0370902429543407,9,NA,NA
"138",2010-06-01,"NVDA",-0.0109361510134531,0.0311883066811449,8,NA,NA
"139",2010-07-01,"NVDA",-0.00439013088691025,0.0353104425106227,10,NA,NA
"140",2010-08-01,"NVDA",0.00107699791921617,0.0294996188553655,11,NA,NA
"141",2010-09-01,"NVDA",0.0110514874277075,0.0237395435082658,9,NA,NA
"142",2010-10-01,"NVDA",0.00159475094498235,0.0222412428216901,8,NA,NA
"143",2010-11-01,"NVDA",0.00611015322632379,0.019658395660924,9,NA,NA
"144",2010-12-01,"NVDA",0.0058071509729655,0.0190508580156813,8,NA,NA
"145",2011-01-01,"NVDA",0.0235812783516726,0.0544041600858033,18,NA,NA
"146",2011-02-01,"NVDA",-0.00199567767370954,0.0423368733870907,16,NA,NA
"147",2011-03-01,"NVDA",-0.00840956634920549,0.0312201022800423,14,NA,NA
"148",2011-04-01,"NVDA",0.00425744356794953,0.0226378663977441,10,NA,NA
"149",2011-05-01,"NVDA",0.00064305194563046,0.0332278264612006,11,NA,NA
"150",2011-06-01,"NVDA",-0.0101822523447682,0.0194904724428595,8,NA,NA
"151",2011-07-01,"NVDA",-0.0068213243726703,0.0223896386720777,8,NA,NA
"152",2011-08-01,"NVDA",-0.000293135169889696,0.0537368956347265,12,NA,NA
"153",2011-09-01,"NVDA",-0.00243329274361364,0.032994159770348,10,NA,NA
"154",2011-10-01,"NVDA",0.00883456120023103,0.0410239637918462,9,NA,NA
"155",2011-11-01,"NVDA",0.00318733353208362,0.0351455229867891,9,NA,NA
"156",2011-12-01,"NVDA",-0.00544067078983732,0.0237666368324539,6,NA,NA
"157",2012-01-01,"NVDA",0.00334465419293634,0.0184251907118211,6,NA,NA
"158",2012-02-01,"NVDA",0.00143670988729054,0.0187062642013667,9,NA,NA
"159",2012-03-01,"NVDA",0.000823256476464459,0.0139563020333399,7,NA,NA
"160",2012-04-01,"NVDA",-0.00830063635496221,0.0157480663380775,6,NA,NA
"161",2012-05-01,"NVDA",-0.00175373162401713,0.0244195950530035,8,NA,NA
"162",2012-06-01,"NVDA",0.00548234267103864,0.0297965344434382,8,NA,NA
"163",2012-07-01,"NVDA",-0.000744673220494557,0.0220519974661048,6,NA,NA
"164",2012-08-01,"NVDA",0.00165166433186631,0.0148406217511152,8,NA,NA
"165",2012-09-01,"NVDA",-0.0024754177239999,0.0190953885289243,6,NA,NA
"166",2012-10-01,"NVDA",-0.00490026439310173,0.0217931351980205,6,NA,NA
"167",2012-11-01,"NVDA",0.000541533507205806,0.0230532235577177,8,NA,NA
"168",2012-12-01,"NVDA",0.00129768913559207,0.0145718417197478,6,NA,NA
"169",2013-01-01,"NVDA",0.000143960440306108,0.0174213568975571,7,NA,NA
"170",2013-02-01,"NVDA",0.00210375654168245,0.014106943763525,8,NA,NA
"171",2013-03-01,"NVDA",0.000699844122658958,0.00829636565026961,7,NA,NA
"172",2013-04-01,"NVDA",0.00335665354456959,0.0169815586200672,7,NA,NA
"173",2013-05-01,"NVDA",0.00261648119790258,0.0166414976685342,9,NA,NA
"174",2013-06-01,"NVDA",-0.00140781698018904,0.0144724722389839,6,NA,NA
"175",2013-07-01,"NVDA",0.00129238117481599,0.00798048397516543,5,NA,NA
"176",2013-08-01,"NVDA",0.0012800764002948,0.0122429966450841,7,NA,NA
"177",2013-09-01,"NVDA",0.00271036778124605,0.00845886169157173,7,NA,NA
"178",2013-10-01,"NVDA",-0.00100989904786752,0.00900483395984304,6,NA,NA
"179",2013-11-01,"NVDA",0.00182966586639427,0.0216887231173243,6,NA,NA
"180",2013-12-01,"NVDA",0.00133861710544089,0.0123593935565615,5,NA,NA
"181",2014-01-01,"NVDA",-0.00083769437635419,0.0160134549398914,6,NA,NA
"182",2014-02-01,"NVDA",0.00869512292575196,0.0163826133554822,9,NA,NA
"183",2014-03-01,"NVDA",-0.0011529502355457,0.0129124120830406,7,NA,NA
"184",2014-04-01,"NVDA",0.00161702839861489,0.0177693639459004,6,NA,NA
"185",2014-05-01,"NVDA",0.00167046155623596,0.0145684534621248,6,NA,NA
"186",2014-06-01,"NVDA",-0.00112528509869178,0.00926540344304129,5,NA,NA
"187",2014-07-01,"NVDA",-0.00249471329357043,0.0161606806872921,6,NA,NA
"188",2014-08-01,"NVDA",0.00544971707563307,0.0207956012205641,6,NA,NA
"189",2014-09-01,"NVDA",-0.00245115274404667,0.0111378203977358,6,NA,NA
"190",2014-10-01,"NVDA",0.00273696107492611,0.0222690029467064,5,NA,NA
"191",2014-11-01,"NVDA",0.00401025351486862,0.0114559098209277,6,NA,NA
"192",2014-12-01,"NVDA",-0.0019169765222377,0.015918535155409,4,NA,NA
"193",2015-01-01,"NVDA",-0.00195718458173146,0.0201155922916351,5,NA,NA
"194",2015-02-01,"NVDA",0.00769303110744013,0.0192639270472221,7,NA,NA
"195",2015-03-01,"NVDA",-0.00219464944129922,0.0204697293169022,7,NA,NA
"196",2015-04-01,"NVDA",0.00286516510201857,0.0108255341193616,6,NA,NA
"197",2015-05-01,"NVDA",0.000358828964552964,0.0238283333030796,6,NA,NA
"198",2015-06-01,"NVDA",-0.00422551007940627,0.0155265937881885,6,NA,NA
"199",2015-07-01,"NVDA",-0.000282467121323735,0.0130019582239297,5,NA,NA
"200",2015-08-01,"NVDA",0.00652846993151312,0.0370945810217271,7,NA,NA
"201",2015-09-01,"NVDA",0.00458633729063659,0.0209031413073101,6,NA,NA
"202",2015-10-01,"NVDA",0.00656744924496403,0.0171300329507598,9,NA,NA
"203",2015-11-01,"NVDA",0.00628132409542417,0.0335951336918149,9,NA,NA
"204",2015-12-01,"NVDA",0.00187858484866723,0.0168197431666368,8,NA,NA
"205",2016-01-01,"NVDA",-0.0058929952237888,0.0250939345395309,7,NA,NA
"206",2016-02-01,"NVDA",0.00409994551470191,0.032437445437104,9,NA,NA
"207",2016-03-01,"NVDA",0.00592412503311486,0.0149234970539957,9,NA,NA
"208",2016-04-01,"NVDA",-5.42118763670198e-05,0.0129181515561312,9,NA,NA
"209",2016-05-01,"NVDA",0.0137647581112455,0.0343770515488033,17,NA,NA
"210",2016-06-01,"NVDA",0.000446165129874185,0.0184400132990857,14,NA,NA
"211",2016-07-01,"NVDA",0.00986971304684771,0.0145796744662132,18,NA,NA
"212",2016-08-01,"NVDA",0.00331752725498413,0.0158975023248709,26,NA,NA
"213",2016-09-01,"NVDA",0.00547674369272952,0.0200243650547029,20,NA,NA
"214",2016-10-01,"NVDA",0.00190477606238957,0.0147966414173993,21,NA,NA
"215",2016-11-01,"NVDA",0.0144860025644198,0.0698533075766278,39,NA,NA
"216",2016-12-01,"NVDA",0.00754590467130192,0.0338491722028653,52,NA,NA
"217",2017-01-01,"NVDA",0.00134082947882914,0.0210076172166959,47,NA,NA
"218",2017-02-01,"NVDA",-0.00329479670520693,0.0314302387646491,71,NA,NA
"219",2017-03-01,"NVDA",0.00321646419849974,0.0165546582526694,50,NA,NA
"220",2017-04-01,"NVDA",-0.00204678477476974,0.0221097830149214,41,NA,NA
"221",2017-05-01,"NVDA",0.0158057178792315,0.0443430639573712,80,NA,NA
"222",2017-06-01,"NVDA",0.000455743047691514,0.0286208588993579,96,NA,NA
"223",2017-07-01,"NVDA",0.00609504952899555,0.0218466153108955,75,NA,NA
"224",2017-08-01,"NVDA",0.00217560193369081,0.0260401611014953,96,NA,NA
"225",2017-09-01,"NVDA",0.00296680384653915,0.0245382951466191,71,NA,NA
"226",2017-10-01,"NVDA",0.00671049720487527,0.0117608547860936,73,NA,NA
"227",2017-11-01,"NVDA",0.0034156000922846,0.00800983693180032,100,3161,319374
"228",1983-03-01,"AMD",-0.00846216345678694,0.0334422383962695,NA,NA,NA
"229",1983-04-01,"AMD",0.00681377758354572,0.0324631641430986,NA,NA,NA
"230",1983-05-01,"AMD",0.0122076868266696,0.0333311253694962,NA,NA,NA
"231",1983-06-01,"AMD",0.0135612806224672,0.0332601796844859,NA,NA,NA
"232",1983-07-01,"AMD",-0.00336137480342284,0.0375934178701659,NA,NA,NA
"233",1983-08-01,"AMD",0.0033772186373051,0.0338354369919731,NA,NA,NA
"234",1983-09-01,"AMD",-0.00376778227396466,0.0335733971851414,NA,NA,NA
"235",1983-10-01,"AMD",0.0021549183764948,0.0333344763321981,NA,NA,NA
"236",1983-11-01,"AMD",0.00664765480546424,0.0378767238082705,NA,NA,NA
"237",1983-12-01,"AMD",-0.000387995088828519,0.0166806708217321,NA,NA,NA
"238",1984-01-01,"AMD",-0.0070981078410179,0.0265962625379553,NA,NA,NA
"239",1984-02-01,"AMD",-0.000144028643344135,0.0395188786627718,NA,NA,NA
"240",1984-03-01,"AMD",0.000755268351062987,0.0273201418551155,NA,NA,NA
"241",1984-04-01,"AMD",0.00978836281479313,0.0279152761579098,NA,NA,NA
"242",1984-05-01,"AMD",-0.00360013572456525,0.0201888437510391,NA,NA,NA
"243",1984-06-01,"AMD",-0.000875085547866552,0.0307210901147188,NA,NA,NA
"244",1984-07-01,"AMD",-0.00221806308841387,0.0341853506131733,NA,NA,NA
"245",1984-08-01,"AMD",0.0140146064229573,0.0367067180520617,NA,NA,NA
"246",1984-09-01,"AMD",-0.006307477215403,0.0230364786774448,NA,NA,NA
"247",1984-10-01,"AMD",-0.00293134944521866,0.036867124676678,NA,NA,NA
"248",1984-11-01,"AMD",-0.00652791029810194,0.0221637972527226,NA,NA,NA
"249",1984-12-01,"AMD",0.00347591768490266,0.0297110284477324,NA,NA,NA
"250",1985-01-01,"AMD",0.00837947821214421,0.0293402833705844,NA,NA,NA
"251",1985-02-01,"AMD",-0.00263327123833828,0.0233302989470776,NA,NA,NA
"252",1985-03-01,"AMD",0.000474341295017067,0.0247058468200326,NA,NA,NA
"253",1985-04-01,"AMD",-0.00826952257754399,0.02421707142506,NA,NA,NA
"254",1985-05-01,"AMD",-0.00188010819317318,0.0291349284196952,NA,NA,NA
"255",1985-06-01,"AMD",-0.000400829327364755,0.0340814147568383,NA,NA,NA
"256",1985-07-01,"AMD",0.0065789363922725,0.0304674398263613,NA,NA,NA
"257",1985-08-01,"AMD",-0.00500663826494639,0.0222717509288259,NA,NA,NA
"258",1985-09-01,"AMD",-0.000178408681880053,0.0258413430570633,NA,NA,NA
"259",1985-10-01,"AMD",-0.00470256484996753,0.0264345104197436,NA,NA,NA
"260",1985-11-01,"AMD",0.00915577493688114,0.025763940858166,NA,NA,NA
"261",1985-12-01,"AMD",0.00207178636651435,0.0193812021154136,NA,NA,NA
"262",1986-01-01,"AMD",-0.00226170905398993,0.0274373291457887,NA,NA,NA
"263",1986-02-01,"AMD",0.00695468187858502,0.01921951891725,NA,NA,NA
"264",1986-03-01,"AMD",-0.00385121623193765,0.0337587917883735,NA,NA,NA
"265",1986-04-01,"AMD",-1.66297129191816e-06,0.0207845805651419,NA,NA,NA
"266",1986-05-01,"AMD",-0.00273828383307901,0.0246182455744664,NA,NA,NA
"267",1986-06-01,"AMD",-0.0131549367649123,0.0276952880274415,NA,NA,NA
"268",1986-07-01,"AMD",-0.00991846807788528,0.0432445643553132,NA,NA,NA
"269",1986-08-01,"AMD",0.0102917687138532,0.028829654786132,NA,NA,NA
"270",1986-09-01,"AMD",-0.00951289136631056,0.0245581614100207,NA,NA,NA
"271",1986-10-01,"AMD",-0.00544883223121322,0.0302546863600053,NA,NA,NA
"272",1986-11-01,"AMD",0.00720998154254526,0.0308528285770321,NA,NA,NA
"273",1986-12-01,"AMD",-0.00552642454297338,0.0244603568150428,NA,NA,NA
"274",1987-01-01,"AMD",0.0122272580180293,0.0382429049708155,NA,NA,NA
"275",1987-02-01,"AMD",0.0126281910066762,0.0494061799802572,NA,NA,NA
"276",1987-03-01,"AMD",-0.00382704524675694,0.0238737397592993,NA,NA,NA
"277",1987-04-01,"AMD",0.00555309525656879,0.0302113703464878,NA,NA,NA
"278",1987-05-01,"AMD",-0.00091990402705635,0.0216747772843632,NA,NA,NA
"279",1987-06-01,"AMD",-0.00565430480419984,0.0204015911680088,NA,NA,NA
"280",1987-07-01,"AMD",-0.00200382450311124,0.0176663350380123,NA,NA,NA
"281",1987-08-01,"AMD",0.00971170154004512,0.0302049331137374,NA,NA,NA
"282",1987-09-01,"AMD",0.000346703304318371,0.027141654853461,NA,NA,NA
"283",1987-10-01,"AMD",-0.023421377498348,0.0998329830925749,NA,NA,NA
"284",1987-11-01,"AMD",-0.0101524141912661,0.0374437092040947,NA,NA,NA
"285",1987-12-01,"AMD",0.00367995687937832,0.0377805145918502,NA,NA,NA
"286",1988-01-01,"AMD",-0.00060972043988535,0.0375067165666631,NA,NA,NA
"287",1988-02-01,"AMD",0.0115073308260578,0.0313704825789231,NA,NA,NA
"288",1988-03-01,"AMD",-0.00338512474507934,0.0285901824124938,NA,NA,NA
"289",1988-04-01,"AMD",0.0139246247753986,0.0304654326837475,NA,NA,NA
"290",1988-05-01,"AMD",0.00235312131016091,0.0268533053117027,NA,NA,NA
"291",1988-06-01,"AMD",0.00466529364732183,0.026128687453676,NA,NA,NA
"292",1988-07-01,"AMD",-0.0100204203412258,0.0288138928070805,NA,NA,NA
"293",1988-08-01,"AMD",-0.0067754466102694,0.0223862836166404,NA,NA,NA
"294",1988-09-01,"AMD",-0.00895838506664143,0.0415644998422193,NA,NA,NA
"295",1988-10-01,"AMD",-0.000681188754529619,0.0364103819051355,NA,NA,NA
"296",1988-11-01,"AMD",-0.008355377636394,0.0245793488602275,NA,NA,NA
"297",1988-12-01,"AMD",0.00738583069710929,0.0381428429955178,NA,NA,NA
"298",1989-01-01,"AMD",0.00289386331639562,0.0208228773505806,NA,NA,NA
"299",1989-02-01,"AMD",-0.00507272235119268,0.0228775629244951,NA,NA,NA
"300",1989-03-01,"AMD",0.00157097473096382,0.0211862261281221,NA,NA,NA
"301",1989-04-01,"AMD",0.00245550269777375,0.0239020363840279,NA,NA,NA
"302",1989-05-01,"AMD",0.00745022319928846,0.0266352978768532,NA,NA,NA
"303",1989-06-01,"AMD",-0.00267118733289436,0.0189299103577703,NA,NA,NA
"304",1989-07-01,"AMD",-0.00593447283516875,0.0174953847991548,NA,NA,NA
"305",1989-08-01,"AMD",0.000193698746581739,0.0202123848394166,NA,NA,NA
"306",1989-09-01,"AMD",0.0016357741026837,0.0210565678010104,NA,NA,NA
"307",1989-10-01,"AMD",-0.00523469183803282,0.0193629555372059,NA,NA,NA
"308",1989-11-01,"AMD",-0.00221403296684467,0.0169306345789229,NA,NA,NA
"309",1989-12-01,"AMD",0.0026217265199109,0.017637264419306,NA,NA,NA
"310",1990-01-01,"AMD",-0.00336773951715136,0.0297385881860534,NA,NA,NA
"311",1990-02-01,"AMD",0.00729167762712674,0.0316012757965695,NA,NA,NA
"312",1990-03-01,"AMD",0.00502728719360691,0.0302107777926411,NA,NA,NA
"313",1990-04-01,"AMD",-0.0018894441627272,0.0208402754594357,NA,NA,NA
"314",1990-05-01,"AMD",0.00863336299590041,0.0256845306921927,NA,NA,NA
"315",1990-06-01,"AMD",-0.00447624001294081,0.0239303198965106,NA,NA,NA
"316",1990-07-01,"AMD",-0.0132892647578096,0.0464372962295815,NA,NA,NA
"317",1990-08-01,"AMD",-0.0107339067232887,0.0375900921659785,NA,NA,NA
"318",1990-09-01,"AMD",-0.00207961525106047,0.0300841425202152,NA,NA,NA
"319",1990-10-01,"AMD",-0.0108715244421599,0.0496916954608663,NA,NA,NA
"320",1990-11-01,"AMD",0.00720012321118348,0.0556827186466655,NA,NA,NA
"321",1990-12-01,"AMD",0.00610272128840965,0.0381869447585805,NA,NA,NA
"322",1991-01-01,"AMD",0.0189856469253128,0.0407960136057909,NA,NA,NA
"323",1991-02-01,"AMD",0.00665848951891516,0.0372071801058724,NA,NA,NA
"324",1991-03-01,"AMD",0.0138317243174172,0.0454539907651808,NA,NA,NA
"325",1991-04-01,"AMD",0.00769509170050721,0.0374751491765856,NA,NA,NA
"326",1991-05-01,"AMD",0.004969603377447,0.0339679370016655,NA,NA,NA
